宁波移动,#genre#
iHOT-爱都市,http://111.56.90.5/000000000000/6000000006000080630/1.m3u8
iHOT-爱动漫,http://111.56.90.5/000000000000/6000000006000280630/1.m3u8
iHOT-爱谍战,http://111.56.90.5/000000000000/6000000006000070630/1.m3u8
iHOT-爱电竞,http://111.56.90.5/000000000000/6000000006000230630/1.m3u8

NewTV-超级电视剧,http://111.56.90.5/000000000000/1000000006000268003/1.m3u8
NewTV-超级电影,http://111.56.90.5/000000000000/1000000003000012426/1.m3u8
NewTV-超级综艺,http://111.56.90.5/000000000000/1000000006000268002/1.m3u8
NewTV-超级体育,http://111.56.90.5/000000000000/1000000001000009601/1.m3u8
NewTV-惊悚悬疑,http://111.56.90.5/000000000000/1000000004000024282/1.m3u8
NewTV-精品萌宠,http://111.56.90.5/000000000000/1000000006000032328/1.m3u8
NewTV-精品体育,http://111.56.90.5/000000000000/1000000004000014634/1.m3u8
NewTV-精品综合,http://111.56.90.5/000000000000/1000000004000019008/1.m3u8
NewTV-黑莓动画,http://111.56.90.5/000000000000/1000000004000021734/1.m3u8
NewTV-黑莓电影,http://111.56.90.5/000000000000/1000000004000019624/1.m3u8
NewTV-中国功夫,http://111.56.90.5/000000000000/2000000003000000009/1.m3u8
NewTV-怡伴健康,http://111.56.90.5/000000000000/1000000005000266011/1.m3u8
NewTV-炫舞未来,http://111.56.90.5/000000000000/1000000001000000515/1.m3u8
NewTV-武博世界,http://111.56.90.5/000000000000/2000000003000000007/1.m3u8
NewTV-农业致富,http://111.56.90.5/000000000000/2000000003000000003/1.m3u8
NewTV-明星大片,http://111.56.90.5/000000000000/2000000003000000016/1.m3u8
NewTV-魅力潇湘,http://111.56.90.5/000000000000/1000000001000006197/1.m3u8
NewTV-军事评论,http://111.56.90.5/000000000000/2000000003000000022/1.m3u8
NewTV-军旅剧场,http://111.56.90.5/000000000000/2000000003000000014/1.m3u8
NewTV-金牌综艺,http://111.56.90.5/000000000000/1000000004000026167/1.m3u8
NewTV-家庭剧场,http://111.56.90.5/000000000000/1000000004000008284/1.m3u8
NewTV-欢乐剧场,http://111.56.90.5/000000000000/1000000005000266012/1.m3u8
NewTV-古装剧场,http://111.56.90.5/000000000000/2000000003000000024/1.m3u8
NewTV-动作电影,http://111.56.90.5/000000000000/1000000004000018653/1.m3u8
NewTV-东北热剧,http://111.56.90.5/000000000000/1000000005000266013/1.m3u8
NewTV-潮妈辣婆,http://111.56.90.5/000000000000/2000000003000000018/1.m3u8
NewTV-爱情喜剧,http://111.56.90.5/000000000000/2000000003000000010/1.m3u8
NewTV-精品纪录,http://111.56.90.5/000000000000/1000000004000013730/1.m3u8
NewTV-精品大剧,http://111.56.90.5/000000000000/1000000004000013968/1.m3u8


成都移动,#genre#
CCTV1,http://183.220.20.17:4321/udp/239.11.0.65:5140
CCTV1,http://183.220.20.17:4321/udp/239.11.0.66:5140
CCTV1,http://183.220.20.17:4321/udp/239.11.0.130:5140
CCTV2,http://183.220.20.17:4321/udp/239.11.0.108:5140
CCTV3,http://183.220.20.17:4321/udp/239.11.0.101:5140
CCTV4,http://183.220.20.17:4321/udp/239.11.0.109:5140
CCTV5,http://183.220.20.17:4321/udp/239.11.0.100:5140
CCTV5+,http://183.220.20.17:4321/udp/239.11.0.241:5140
CCTV6,http://183.220.20.17:4321/udp/239.11.0.102:5140
CCTV7,http://183.220.20.17:4321/udp/239.11.0.110:5140
CCTV8,http://183.220.20.17:4321/udp/239.11.0.103:5140
CCTV9,http://183.220.20.17:4321/udp/239.11.0.111:5140
CCTV10,http://183.220.20.17:4321/udp/239.11.0.112:5140
CCTV11,http://183.220.20.17:4321/udp/239.11.0.22:5140
CCTV12,http://183.220.20.17:4321/udp/239.11.0.113:5140
CCTV13,http://183.220.20.17:4321/udp/239.11.0.24:5140
CCTV14,http://183.220.20.17:4321/udp/239.11.0.114:5140
CCTV15,http://183.220.20.17:4321/udp/239.11.0.26:5140
CCTV17,http://183.220.20.17:4321/udp/239.11.0.107:5140
CETV1,http://183.220.20.17:4321/udp/239.11.0.139:5140
CETV2,http://183.220.20.17:4321/udp/239.11.0.246:5140
CETV3,http://183.220.20.17:4321/udp/239.11.0.247:5140
CETV4,http://183.220.20.17:4321/udp/239.11.0.248:5140
