央视,#genre#
湖北卫视,http://36.36.200.198:44330/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://222.214.208.34:59901/tsfile/live/0120_1.m3u8
贵州卫视,http://175.154.151.98:808/hls/43/index.m3u8
贵州卫视,http://112.92.129.96:9898/hls/49/index.m3u8
辽宁卫视,http://175.154.151.98:808/hls/34/index.m3u8
辽宁卫视,http://112.92.129.96:9898/hls/45/index.m3u8
辽宁卫视,http://116.76.254.170:44330/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://36.36.200.198:44330/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://222.214.208.34:59901/tsfile/live/0142_1.m3u8
重庆卫视,http://175.154.151.98:808/hls/42/index.m3u8
重庆卫视,http://112.92.129.96:9898/hls/44/index.m3u8
重庆卫视,http://116.76.254.170:44330/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://36.36.200.198:44330/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
青海卫视,http://222.214.208.34:59901/tsfile/live/1007_1.m3u8
青海卫视,http://112.92.129.96:9898/hls/67/index.m3u8
陕西卫视,http://112.92.129.96:9898/hls/57/index.m3u8
陕西卫视,http://116.76.254.170:44330/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://36.36.200.198:44330/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://222.214.208.34:59901/tsfile/live/0113_1.m3u8
广西卫视,http://175.154.151.98:808/hls/48/index.m3u8
广西卫视,http://112.92.129.96:9898/hls/64/index.m3u8
山西卫视,http://222.214.208.34:59901/tsfile/live/0114_1.m3u8
山西卫视,http://175.154.151.98:808/hls/56/index.m3u8
吉林卫视,http://175.154.151.98:808/hls/49/index.m3u8
吉林卫视,http://112.92.129.96:9898/hls/58/index.m3u8
吉林卫视,http://116.76.254.170:44330/tsfile/live/0116_2.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://175.154.151.98:808/hls/50/index.m3u8
甘肃卫视,http://112.92.129.96:9898/hls/69/index.m3u8
海南卫视,http://175.154.151.98:808/hls/57/index.m3u8
海南卫视,http://112.92.129.96:9898/hls/63/index.m3u8
西藏卫视,http://112.92.129.96:9898/hls/65/index.m3u8
新疆卫视,http://112.92.129.96:9898/hls/61/index.m3u8
宁夏卫视,http://112.92.129.96:9898/hls/68/index.m3u8
兵团卫视,http://112.92.129.96:9898/hls/77/index.m3u8
三沙卫视,http://175.154.151.98:808/hls/55/index.m3u8
厦门卫视,http://175.154.151.98:808/hls/54/index.m3u8
内蒙古卫视,http://112.92.129.96:9898/hls/151/index.m3u8
黑龙江卫视,http://175.154.151.98:808/hls/40/index.m3u8
黑龙江卫视,http://112.92.129.96:9898/hls/42/index.m3u8
黑龙江卫视,http://116.76.254.170:44330/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://36.36.200.198:44330/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV4,http://107.150.60.122/live/cctv4hd.m3u8
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV8,http://107.150.60.122/live/cctv8hd.m3u8
CCTV9,http://107.150.60.122/live/cctv9hd.m3u8
CCTV10,http://107.150.60.122/live/cctv10hd.m3u8
CCTV11,http://107.150.60.122/live/cctv11hd.m3u8
CCTV12,http://107.150.60.122/live/cctv12hd.m3u8
CCTV13,http://107.150.60.122/live/cctv13hd.m3u8
CCTV14,http://107.150.60.122/live/cctv14hd.m3u8
CCTV15,http://107.150.60.122/live/cctv15hd.m3u8
CCTV16,http://107.150.60.122/live/cctv16hd.m3u8
CCTV17,http://107.150.60.122/live/cctv17hd.m3u8
湖南卫视,http://107.150.60.122/live/hnwshd.m3u8
东方卫视,http://107.150.60.122/live/dfwshd.m3u8
浙江卫视,http://107.150.60.122/live/zjwshd.m3u8
江苏卫视,http://107.150.60.122/live/jswshd.m3u8
重庆卫视,http://107.150.60.122/live/cqwshd.m3u8
